"",BD_ID1,BD_ID2,BD_ID3,BD_ID4,BD_ID5,BD_ID6,BD_ID7,BD_ID8,BD_ID9,BD_ID10,BD_ID11,CTR_ID1,CTR_ID2,CTR_ID3,CTR_ID4,CTR_ID5,CTR_ID6,CTR_ID7,CTR_ID8,CTR_ID9,CTR_ID10,CTR_ID11,CTR_ID12,CTR_ID13,CTR_ID14,CTR_ID15,MDD_ID1,MDD_ID2,MDD_ID3,MDD_ID4,MDD_ID5,MDD_ID6,MDD_ID7,MDD_ID8,MDD_ID9,MDD_ID10,MDD_ID11,SCZ_ID1,SCZ_ID2,SCZ_ID3,SCZ_ID4,SCZ_ID5,SCZ_ID6,SCZ_ID7,SCZ_ID8,SCZ_ID9,SCZ_ID10,SCZ_ID11,SCZ_ID12,SCZ_ID13
ASB1,5.288835,5.203739,5.810281,5.322837,5.654986,5.451272,5.517984,5.456726,5.575119,5.330702,5.454695,5.562476,5.262538,5.586267,5.432064,5.758183,5.233094,5.391077,5.687724,5.719263,5.690366,5.464881,5.73863,5.585258,5.61947,5.579669,5.357379,5.538707,5.859169,5.736671,5.771978,5.634606,5.58187,5.594439,5.606081,5.488643,5.986578,5.414299,5.806035,5.684859,5.484739,5.453254,5.750138,5.496424,5.707438,5.462254,5.509833,5.5721,5.613662,5.560714
NFATC3,4.803563,4.833097,4.702086,4.706756,4.796741,4.691266,4.889485,4.693249,4.999105,4.523906,5.030411,3.818421,4.057885,4.197145,4.228762,4.249877,4.337356,4.179927,4.966486,4.539944,4.40602,4.563455,4.018404,4.067712,4.428403,4.311194,4.922659,4.252216,4.686403,4.651204,4.489655,4.276763,4.192644,4.476896,4.551322,4.152115,4.16131,4.493146,5.008697,4.62639,4.808437,5.250819,4.860319,4.667525,4.678214,4.830905,4.390696,4.710691,4.560094,4.67426
ZNF282,7.233472,7.23289,7.263286,7.301135,7.410922,7.255602,7.328642,7.254617,7.48423,7.089953,7.511719,7.122909,7.311397,7.467038,7.481606,7.516212,7.577676,7.546245,7.673208,7.454226,7.538696,7.429469,7.366516,7.450124,7.515561,7.404382,7.657098,7.185057,7.7032,7.563107,7.273852,7.399534,7.324369,7.500603,7.504942,7.41829,7.595158,7.350029,7.25969,7.255808,7.377144,7.65096,7.2478,7.407923,7.384362,7.251204,7.452804,7.353421,7.291346,7.242842
ZNF85,4.001793,4.175705,4.117892,3.70165,4.102959,4.026069,3.792111,3.838399,3.719778,4.02904,3.708574,4.108612,4.125538,4.065502,3.758804,4.046076,3.807486,3.970214,3.840596,3.750867,4.04195,3.873617,3.972297,4.027099,4.123576,4.091374,3.846507,4.004663,4.147162,4.304273,4.064266,4.113503,4.114128,4.524847,4.144416,4.344323,4.161413,4.05898,3.615104,4.109902,3.66848,3.852073,3.721041,3.747932,3.807417,4.145272,3.855017,4.114451,4.116323,4.04263
KHDRBS2,3.624181,3.641012,3.405099,3.497008,3.612902,3.601411,3.742505,3.493568,3.629153,3.54115,3.457478,3.474522,3.676285,3.599151,3.529823,3.556961,3.545277,3.513462,3.567895,3.423021,3.43501,3.392225,3.62569,3.527194,3.486446,3.512439,3.961956,3.724102,3.689286,4.083902,3.47073,3.760693,3.671788,3.819986,3.742248,3.904343,3.718864,3.577832,3.233743,3.448069,3.347298,3.84064,3.463065,3.436685,3.228932,3.402882,3.743952,3.505851,3.773221,3.413448
SMAD7,4.948507,5.170735,5.306678,5.041969,5.243271,5.296652,5.221533,5.234414,5.508141,5.001592,5.499312,5.316455,5.127289,5.337718,5.361999,5.464735,5.484326,5.478601,5.400028,5.396602,5.435683,5.158834,5.491973,5.430033,5.408717,5.417596,5.59805,5.406804,5.688929,5.449757,5.786416,5.545156,5.818054,5.759368,5.440478,5.554249,5.810694,5.151701,5.658107,5.164079,4.933276,5.041222,5.253768,5.475315,5.430033,5.448395,5.507518,5.331328,5.088996,5.503526
APBB2,3.554444,3.787367,3.862968,3.669245,3.946906,3.815235,3.584956,3.785289,3.910663,3.802736,4.070111,3.809356,3.776078,3.543128,3.866129,3.862961,3.720836,3.802499,3.86662,3.905825,3.809442,4.056729,3.65611,3.776922,3.642365,3.875271,3.882855,3.826794,4.004535,4.120393,4.085253,4.043957,3.931276,4.020771,4.131036,3.940342,3.918783,3.686898,3.817764,3.807733,3.729452,3.783101,3.823472,3.802953,3.991643,3.613849,3.711094,3.84049,3.702793,4.014882
GATAD1,4.868575,4.877512,4.495503,4.740547,4.648255,4.596897,4.725238,4.567366,4.967668,4.299994,4.791609,4.786937,4.771505,4.546823,4.56496,4.661106,4.724785,4.626752,4.969912,4.823395,4.781577,4.498174,4.623611,4.572284,4.754543,4.724034,5.100826,5.057034,5.105457,4.855716,4.841581,4.74642,4.908659,4.723422,4.696071,4.940539,4.575186,4.639946,4.990854,4.820443,4.928647,4.756034,4.646467,4.636997,4.622149,5.10771,4.601212,4.891536,4.674942,4.666404
ZNF710,5.70626,5.49975,5.405984,5.631918,5.483821,5.348646,5.540181,5.249588,5.676004,5.525132,5.386392,5.439716,5.610004,5.479594,5.813313,5.528411,5.889453,5.740836,5.910808,5.542592,5.667586,5.729189,5.50934,5.628669,5.464986,5.430097,5.925361,5.575087,5.586561,5.834192,5.473489,5.601497,5.634273,5.565884,5.90647,5.792177,5.554921,5.327282,5.520425,5.229327,5.617437,5.694579,5.39311,5.632254,5.55443,5.42083,5.495932,5.453405,5.338181,5.484291
KCNH2,6.559089,6.501904,6.616163,6.643748,6.756525,6.674149,6.72596,6.761731,6.54438,6.752805,6.649097,6.991535,6.862623,6.844131,6.931873,7.070759,6.856077,6.928407,6.842145,6.872393,6.881101,6.875404,6.854679,6.88205,6.868766,6.850751,6.582543,6.964258,6.663135,6.739507,6.700942,6.735128,6.698087,6.769945,6.777451,6.887401,6.905268,6.743938,6.584132,6.711927,6.57443,6.564529,6.679867,6.846132,6.7298,6.727017,6.797162,6.779629,6.738483,6.727707
